OBJECTID,GLOBAL_ID,AIRPORT_ID,DESIGNATOR,LENGTH,WIDTH,DIM_UOM,COMP_CODE,LIGHTACTV,LIGHTINTNS,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC,Shape__Area,Shape__Length
3808,C359C02C-324E-45D7-9BAA-192A507859AD,184E7EFF-B260-4C6A-80DE-33F89659EAFB,15/33,1300,50,FT,GRASS,,,0,0,0,0,0,0,5.46817545910017e-07,0.00770799229445935
3809,2F6198E4-96BC-408C-B7D3-AD81BF8E10B9,B5F41262-B742-4BFF-8B39-99FB80B72D24,H1,100,100,FT,CONC,,,0,0,0,0,0,0,8.42885583551833e-08,0.00116298699998833
3810,070F59DC-941E-4F2A-8AAF-FF115A968A11,AF33FC7C-6DE7-494B-96C3-464C5DD23B34,09/27,4000,80,FT,GRASS,,,0,0,0,0,0,0,2.69028419097594e-06,0.0248771319390719
3811,09378138-73D3-4226-A755-AE685CD7E3BE,B7CEB676-AFC4-4C7C-AEEF-7C30576D36A1,E/W,3700,100,FT,GRASS,,,0,0,0,0,0,0,3.11701160171651e-06,0.0232090648064685
3812,2DBD1221-BC91-4F66-80F5-A9E6D6DE512F,F69FF382-EC4B-4ECD-B8E8-A4D9750540E0,03W/21W,5000,400,FT,WATER,,,0,0,0,0,0,0,1.68530227711017e-05,0.0306248205804953
3813,1A43F4D4-3DC4-4AD3-AB26-A05767EEC6A3,F69FF382-EC4B-4ECD-B8E8-A4D9750540E0,09W/27W,6000,400,FT,WATER,,,0,0,0,0,0,0,2.02236328732397e-05,0.0389545818784608
3814,430B6A81-9CF1-414C-A2E9-682D5C5D528F,F69FF382-EC4B-4ECD-B8E8-A4D9750540E0,18/36,2500,94,FT,GRASS,,,0,0,0,0,0,0,1.98023008124437e-06,0.0143324470888736
3815,FFF43FED-F6E5-4492-A81F-575E2826B6F9,CD88C29B-01C3-4D9C-96B6-3A8E3CCD6A1F,H1,150,150,FT,CONC,0,OTHER,0,0,0,0,0,0,1.93460891750874e-07,0.00176298999997713
3816,1C57FBD1-5040-4AA7-AA01-53B9DAC6784B,56BE3364-3C0E-4833-B9DF-E5E445DB9867,05/23,4000,75,FT,ASPH,2,LIM,0,0,1,1,0,0,2.61117997979454e-06,0.0245591134803585
3817,E458AAD8-40BD-4576-B31D-E71876380C3F,56BE3364-3C0E-4833-B9DF-E5E445DB9867,10/28,8003,150,FT,ASPH,2,LIM,0,0,1,1,0,0,1.04446696695959e-05,0.0513827759506472
3818,341E9ED4-3422-4D91-97A8-F00346F33841,6547416A-782B-405C-AFF5-E58EBE7C9E95,H1,40,40,FT,CONC,,,0,0,0,0,0,0,1.39239091367926e-08,0.000473169999963829
3819,2D6B889B-94A5-42EF-A2AC-92D6CDED6CCA,B975068B-5081-4B4F-AA5F-B3C8784D6DDD,12/30,3513,150,FT,GRASS,,,0,0,0,0,0,0,4.58372369394056e-06,0.0225491836739916
3820,861D9930-7610-4125-8DA1-E38B299D3AE8,249E2C49-3412-435F-8591-17EF711FEA02,09/27,2600,50,FT,GRASS,,,0,0,1,0,0,0,1.13089799924637e-06,0.0167247663919078
3821,8744F2F3-3591-4655-AF58-34DC36DD4CE6,249E2C49-3412-435F-8591-17EF711FEA02,18/36,3500,25,FT,ASPH,,,0,0,1,0,0,0,7.61177034291904e-07,0.0194087258718562
3822,F7F42428-A5C1-47F5-B234-DED0AC201893,01840473-6970-4FFD-9761-17DBE35EEED4,09/27,2350,50,FT,GRASS,,,0,0,0,0,0,0,1.02187186712399e-06,0.0151387904497509
3823,201F3F2F-5372-4FEE-9E1E-AEF1266009E0,D46B3BD7-20A3-486D-8BDB-F4EC224D9801,17/35,3860,75,FT,ASPH,2,,0,0,1,1,0,0,2.46476815846108e-06,0.0218258559262058
3824,6B912DC7-6186-4D95-95C5-6864FF448936,8B5DF4C1-935E-47EC-BA69-0613C55E069C,H1,25,25,FT,CONC,,,0,0,0,0,0,0,5.32236299477518e-09,0.000292339999987234
3825,BBF8FB56-0040-4495-997F-5651CF7E8052,40241F3D-CF99-4160-A9D6-05B1D32EE91C,H1,465,160,FT,GRASS,,,0,0,0,0,0,0,6.33155650575645e-07,0.00354805000001328
3826,303A5E00-77A3-43EA-9A91-E2C44A7F9B64,617CDA92-4428-400A-B0DC-5DE6B1911B5F,03/21,1700,150,FT,GRASS,,,0,0,0,0,0,0,2.17214869735471e-06,0.0105638387597362
3827,E9B34710-6DC3-4801-A9B6-7E4730939131,6FF56B59-E284-4274-829F-F227BA864585,18/36,2313,50,FT,GRASS,2,OTHER,0,0,0,0,0,0,9.85227870842209e-07,0.0130403735981416
3828,56FCA77F-9404-45FE-966E-0F74254EC4A8,4888BC67-6EAF-4509-8313-75ADABC28DBA,09/27,3200,48,FT,ASPH,,,0,0,1,0,0,0,1.30727266878239e-06,0.0200677540002401
3829,8963D897-7C3E-4033-8DB7-08EE6826FE23,48921BA3-13CB-45BE-8765-8F933E5C1A55,12/30,1800,65,FT,GRASS,,,0,0,0,0,0,0,9.85157612376497e-07,0.011164713217819
3830,693D2E09-4717-4200-B079-BAC473506DB1,E63FE0B0-762F-4395-B4BD-1853C89950D7,H1,40,40,FT,CONC,,,0,0,0,0,0,0,1.34705260279588e-08,0.000464910000005148
3831,3176A200-DB76-4E61-9C26-19A2190B5135,30177D75-2FE5-49CB-87C4-77591DA02B65,18/36,3000,75,FT,GRASS,,,0,0,0,0,0,0,1.96221981241251e-06,0.0169796909097803
3832,FDD206CF-DD9E-4F4A-ACEA-055844B34120,8E13839E-5DF4-411A-9CB5-21853A90066E,10/28,800,50,FT,GRASS,,,0,0,0,0,0,0,3.48604771716055e-07,0.00532892853980889
3833,D4F6C71C-2D78-458F-9C5B-51E8D7DDA65E,5BC3521E-C381-47F6-8442-A650242B71D1,H1,35,35,FT,CONC,,,0,0,0,0,0,0,1.04305399872828e-08,0.000409232000038173
3834,0D93A760-EEEE-455E-A971-FAC90E8A6338,CFA00BBC-56D6-4E2B-87FB-C35E08470762,11/29,2575,30,FT,ASPH,,,0,0,0,0,0,0,6.63263108435785e-07,0.0160908434731588
3835,E032A329-ADE1-415E-9F63-217AEC09CF59,E5BAECCB-A275-413C-B590-6FA53D0ABE70,H1,40,40,FT,CONC,3,OTHER,0,0,0,0,0,0,1.37392817123327e-08,0.000469797999926413
3836,913EB304-9A76-4A5E-BD6E-C6185A808590,B37C6C6B-F481-4A35-9AFD-13F4395A5F45,10/28,1920,110,FT,GRASS,,,0,0,0,0,0,0,1.81114592123777e-06,0.0125604170310119
3837,A867FD0C-1C40-4A20-9AC7-73997CF30E15,7261DDD9-3BA5-4D2A-8951-D0349C1FF82C,13/31,6300,100,FT,ASPH,2,LIM,0,0,1,1,0,0,5.40998689757544e-06,0.0380724509625463
3838,E56722CB-AE2C-40D6-A1B4-025BA9904FCE,F84A1AB1-D33A-414D-89B3-3A97600F9974,H1,20,20,FT,CONC,0,OTHER,0,0,0,0,0,0,3.36785888066515e-09,0.000232461999871703
3839,9D93B42F-EF38-4A84-BE93-3E28B07E848B,E796B24C-ECB9-4E8D-8D64-5ECD736CEEC8,09/27,3500,100,FT,GRASS,,,0,0,0,0,0,0,3.04647528537316e-06,0.0226972428225916
3840,8D1020D7-2BD1-4562-900F-DA1AD08794D7,6E92C7F1-C045-4ACA-9E53-510227F3288E,H1,160,130,FT,GRASS,,,0,0,0,0,0,0,1.75343757291557e-07,0.0016770439999641
3841,4953D9F8-D6B5-44CC-BBE3-583E6BC375B5,53643C6D-3134-4639-A518-7C1CDB1631DB,07/25,5008,100,FT,ASPH,2,LIM,0,0,1,1,0,0,4.15181546031818e-06,0.030359863808753
3842,B26DBE65-B896-41F8-AB8C-2453FF97C206,AA6C7A1D-659D-4C91-8935-2687B6183334,H1,35,35,FT,CONC,,,0,0,0,0,0,0,1.01558725873474e-08,0.000403517999984615
3843,1DF0BEAB-7876-47B4-9E17-EB96E8D1F061,087B7BD3-D519-4C51-B758-DA0ED0C5EF8F,H1,65,65,FT,CONC,,,0,0,0,0,0,0,3.50206619259552e-08,0.000749317000045788
3844,1555CB82-C653-4D57-A860-AB11A72CAD9B,7E4C3636-07C2-4271-848E-32475BC3E246,17/35,5000,100,FT,ASPH,2,LIM,0,0,1,1,0,0,4.1878224692482e-06,0.0282586223219773
3845,71115E42-4803-48A6-804D-CC32226DCA21,10ED6CF1-1C08-48D6-BBAF-448A23309A1D,08/26,4763,100,FT,ASPH,2,,0,0,1,1,0,0,4.17207661485008e-06,0.0308266061008625
3846,4CD4743E-CCAB-4164-A489-80092C605589,10ED6CF1-1C08-48D6-BBAF-448A23309A1D,18/36,6001,100,FT,ASPH,2,LIM,0,0,1,1,0,0,5.25623363500927e-06,0.0336327619667602
3847,28675AD7-0991-4EF9-86C0-8935AF9FC5EE,FCDF14B3-3772-4B30-A365-11839AE85A85,H1,50,50,FT,CONC,3,OTHER,0,0,0,0,0,0,2.18874447455164e-08,0.000593368999947415
3848,CF35C7C9-D7CC-4488-80FD-891BE2102343,A1781800-8F3F-4885-B295-1D67B945CC8C,H1,24,24,FT,CONC,3,OTHER,0,0,0,0,0,0,5.0395101425238e-09,0.000284733999933451
